               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.02025,           0.0057574,                   0,             0.98007,             0.96857,             0.98715,             0.69649,             0.02329,           0.0034042,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020052,           0.0056477,                   0,             0.97819,             0.96784,             0.98597,             0.69476,            0.023349,           0.0034078,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019971,           0.0056347,                   0,             0.97866,             0.96789,             0.98593,             0.69477,            0.023393,           0.0034113,                   0,            0.002278,            0.002278,            0.002278
                  41,              0.0196,           0.0055967,                   0,             0.97868,             0.96893,             0.98878,             0.69459,             0.02338,           0.0034134,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.019311,           0.0055375,                   0,             0.97917,             0.97026,             0.98638,             0.69324,            0.023402,           0.0034185,                   0,            0.001882,            0.001882,            0.001882
                  43,              0.0193,           0.0055499,                   0,             0.97597,             0.97148,             0.98751,               0.694,            0.023422,           0.0034216,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019042,           0.0055153,                   0,             0.97422,             0.97504,             0.98767,             0.69464,            0.023437,           0.0034271,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.018771,           0.0054544,                   0,             0.97356,             0.97514,             0.98757,             0.69504,            0.023473,           0.0034334,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018621,           0.0054444,                   0,             0.97377,             0.97527,             0.98756,             0.69487,            0.023499,           0.0034367,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.01839,           0.0054198,                   0,             0.97376,             0.97469,             0.98696,             0.69391,            0.023527,           0.0034411,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018134,            0.005312,                   0,              0.9733,             0.97451,              0.9877,             0.69261,            0.023548,           0.0034439,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.017942,           0.0053468,                   0,             0.97331,             0.97485,             0.98776,             0.69262,            0.023569,           0.0034479,                   0,            0.000496,            0.000496,            0.000496
